SubType,Rent,Rooms,Area_m2,Zip,Lat,Lon,Floor,Year_Built,is_renovated,Balcony,Elevator,Parking,View,Fireplace,Child_Friendly,CableTV,New_Building,Minergie,Wheelchair
FLAT,1450.0,2.5,52.0,8492,47.424184898376,8.846231734281,2.0,1970.0,1,1,0,0,0,0,1,0,0,0,0
FLAT,1790.0,4.5,76.0,8492,47.424394896374,8.845811739285,2.0,1971.0,1,1,0,0,0,0,0,0,0,0,0
FLAT,1500.0,2.5,49.0,8630,47.253793890378,8.858621734289,3.0,1986.0,0,1,1,1,1,0,0,1,0,0,0
FLAT,1470.0,2.5,55.0,8330,47.371614899377,8.779401734284,2.0,1996.0,1,0,0,0,0,0,0,0,0,0,0
FLAT,1815.0,3.0,60.0,8180,47.516754898376,8.532941739283,1.0,1955.0,1,1,0,1,1,0,0,1,0,0,0
FLAT,1550.0,2.5,56.0,8405,47.484784896374,8.762601737288,0.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1898.0,3.5,87.0,8820,47.234138894372,8.662981734288,2.0,1982.0,1,0,0,0,0,0,0,0,0,0,0
STUDIO,1200.0,1.0,15.0,8152,47.431346898376,8.564351730281,0.0,1996.0,1,0,0,1,1,0,0,0,0,0,0
FLAT,1894.0,2.5,57.0,8107,47.454029895373,8.440731733289,0.0,1996.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1800.0,4.5,87.0,8624,47.309844893379,8.781511734283,0.0,1984.0,1,0,0,0,0,0,0,0,0,0,0
FLAT,1770.0,4.0,77.0,8400,47.492164893371,8.751571739281,5.0,1962.0,1,0,0,0,0,0,0,0,0,0,0
FLAT,1450.0,1.5,26.0,8320,47.386414895373,8.754411737289,2.0,1996.0,1,0,0,1,1,0,0,0,0,0,0
FLAT,1850.0,2.5,54.0,8708,47.251494893371,8.699941737281,3.0,1996.0,0,1,0,0,1,0,0,0,0,0,0
FLAT,1800.0,3.0,53.0,8157,47.476449897375,8.453861734282,0.0,1968.0,0,0,0,0,0,0,0,0,0,0,0
FLAT,1535.0,3.5,73.0,8246,47.686324894372,8.654461736281,2.0,1977.0,1,0,1,1,0,0,0,1,0,0,0
FLAT,1829.0,4.5,99.0,8246,47.686044894371,8.654721734289,3.0,1968.0,1,0,0,1,0,0,0,1,0,0,0
FLAT,1730.0,3.5,90.0,8246,47.685706898376,8.654071734281,3.0,1973.0,1,1,0,1,1,0,0,1,0,0,0
